requirement,title,capabilities,lead_package,related_packages,candidate_scenarios,mapping_status,runtime_verdict,run_evidence,target_entry_point,limitation
JUDGE-011,Аварийная коррекция,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,FAIL,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json;judge-correction-probe/README.md,docs/BACKLOG.md BUG-031;BUG-039;correction-recovery-target.md,"Persistence проходит; keyboard focus contract нарушен; J-RUN-CORRECTION;j07-correction-open-focus-1440.json; exact conditions only; not whole requirement acceptance.; Additional1440 loss probe: applied exact prefixed key, stale resend409 zero new event; early absence then late commit. No third submit/mobile/Undo in this probe."
JUDGE-012,Чистый пользовательский лог,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Наблюдались technical correction и effective point list; J-RUN-CORRECTION;matrix-finished records in runtime-states.json; exact conditions only; not whole requirement acceptance.
TOURNAMENT-001,Создание,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,T-RUN-001;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Organizer absent from roster and both consent policies observed; not every creation validation/combination.
TOURNAMENT-002,Минимум/максимум,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-001;T-RUN-002;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Roster sizes3/5/8 and late add sampled; full min/max boundary and overflow were not run.
TOURNAMENT-003,Форматы,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,T-RUN-001;T-RUN-002;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,V2 SE and DE sizes3/5/8 rendered; no legacy preservation claim.
TOURNAMENT-004,Матчи,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-001;T-RUN-006;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Generated1v1 match and one played transition sampled. Full inheritance of all common rules combinations not independently run; consent invites do not prove match rules.
TOURNAMENT-005,Сбор участников,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_WITH_FINDING,T-RUN-001;T-RUN-004;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,"Direct/required consent; accepted/pending/declined/expired/withdrawn and scoped override observed. Direct collecting confirmation is expert F005, not broken server consent. Race evidence inherited from GAP012, not rerun here."
TOURNAMENT-006,Комната ожидания,CAP-TOURNAMENT-001,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-004;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Waiting roster and role-specific controls observed; complete waiting-room states/permissions not all run.
TOURNAMENT-007,Генерация сетки,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,T-RUN-001;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Generate and late-add atomic regeneration observed. Failure/rollback/concurrency not reinjected in this UX package.
TOURNAMENT-008,Посев,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-002;T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Generated seed arrays observed; manual seed swap and rating-order proof not run. Array existence does not prove all seeding rules.
TOURNAMENT-009,Bye,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,T-RUN-002;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,"Rendered BYE in SE/DE3/5/8 sampled; array is participant-only, not null seed slots. Zoom F004 belongs to detail readability, not BYE correctness."
TOURNAMENT-010,Роспуск сетки,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_WITH_FINDING,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Dissolve persisted immediately without confirmation F001; no injected network failure.
TOURNAMENT-011,Выход до старта,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,FAIL_UX,T-RUN-004;T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Generated withdraw persists needs_regeneration without prior consequence warning F002. No promise of automatic regeneration.
TOURNAMENT-012,Старт,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,T-RUN-005;T-RUN-006;T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,"Start and post-start add refusal sampled; competing start/add concurrency inherited from GAP012, not rerun."
TOURNAMENT-013,Параллельность,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,NOT_TESTED,tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,"Tournament parallel scheduling / simultaneous participation was not independently runtime-tested in this UX package; preparation gate is separate evidence, not this run."
TOURNAMENT-014,Неявка/выход после старта,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,NOT_TESTED,tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,No specific no-show/withdraw-after-start automatic advance scenario. Ordinary played-match victory T-RUN006 does not cover this requirement.
TOURNAMENT-015,Завершение,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL_WITH_FINDING,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Finished sample observed; early summary F003 in other active states. Exhaustive final standings/statistics not verified here.
TOURNAMENT-016,Остановка,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Stopped tournament had zero played matches. Stop after played game and partial-result integrity require future fixture; do not claim passed.
TOURNAMENT-017,Детальная карточка,CAP-TOURNAMENT-003,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL_WITH_FINDINGS,T-RUN-003;T-RUN-005;T-RUN-006;T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Roster/current-next/active/terminal and scoped DTO sampled; F003 early summary and expert F004 compact overview. Physical/browser zoom and full role/state matrix not tested.
TOURNAMENT-018,Отмена до старта,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_WITH_FINDING,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Prestart cancel persisted immediately F001; no network failure matrix.
TOURNAMENT-019,Поддерживаемая версия DE-сетки,CAP-TOURNAMENT-002,TOURNAMENT,TOURNAMENT,SC-T01;SC-T02;SC-T03;SC-T04;SC-T05,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL,T-RUN-002;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,tournament/target-spec.md;tournament-correction.md;canonical BACKLOG overrides original target,Current V2 SE/DE rendered. V1 explicit bounded unsupported behavior not browser-tested here; no read/play compatibility is promised by D25.
TEAM-001,Создание,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL_WITH_FINDING,TEAM-BR-01;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,"Creation/name/slogan/welcome observed; required optional avatar absent F-TEAM-001, model unresolved Q-UX-002. No pass for avatar."
TEAM-002,Капитан,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,TEAM-BR-01;TEAM-BR-10;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,Creator became captain; explicit transfer changed captain. Concurrent membership/role changes not run.
TEAM-003,Права капитана,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PARTIAL_WITH_FINDINGS,TEAM-BR-02;TEAM-BR-03;TEAM-BR-10;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,"Edit/invite/remove/transfer observed; avatar absent F-TEAM-001, edit error outside viewport F-TEAM-003, one-click remove/transfer F-TEAM-004. Not full permission matrix acceptance."
TEAM-004,Приглашение,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,TEAM-BR-03;TEAM-BR-04;TEAM-BR-05;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,"Invitation/notification/accept/decline/expiry observed; expiry advanced in disposable DB, not a 14-day real-time wait. Revoke is not this requirement. Race cases not rerun."
TEAM-005,Принятие,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,TEAM-BR-04;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,Acceptance followed by welcome and return observed; no reload during pending response.
TEAM-006,Выход,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,TEAM-BR-10;TEAM-BR-11;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,Ordinary leave confirmed and persisted; captain transfer observed. No competing captain action.
TEAM-007,Автопередача,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,NOT_TESTED,team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,Earliest remaining member auto-captain after blocked/removed captain not run. Sole captain becoming zero-member archive is different and provides no coverage.
TEAM-008,Архив,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,PASS_SAMPLED,TEAM-BR-11;team/evidence/runtime-states.json;team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,"Zero-member archive, read-only detail and active-list exclusion observed. No broader historical/statistics acceptance."
TEAM-009,История,CAP-TEAM-001,TEAM,TEAM,SC-TE01;SC-TE02,COORDINATOR_CORRECTED_AFTER_REVIEW,NOT_TESTED,team-correction.md;social-review.json,team/target-spec.md;team-correction.md;canonical BACKLOG overrides original target,Historical matches/tournaments preservation and ranking by current roster not runtime-tested. TEAM-BR-08/09 shortcuts prove neither; mandatory correction applies.
NOTIF-001,Центр уведомлений,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-NOTIF-LIFECYCLE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Center and pending read invitation actions sampled; not every notification kind.
NOTIF-002,Типы MVP,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-NOTIF-LIFECYCLE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Player invitations and terminal variants observed; judge/team/tournament types retain other package evidence, not this run."
NOTIF-003,Popup,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-NOTIF-LIFECYCLE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Only live pending invitation popup observed; expired/declined/unavailable suppressed in fixture.
NOTIF-004,История,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-NOTIF-LIFECYCLE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Terminal history timeout/source_unavailable/declined reasons visible; complete terminal-kind matrix not claimed.
NOTIF-005,Read state,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,FAIL_WITH_TARGET,R-RUN-NOTIF-READ;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Successful readAt/badge but stale Actual filter untilrefresh, F-RESULTS004. Pending read remains actionable."
NOTIF-006,TTL,CAP-NOTIF-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-NOTIF-LIFECYCLE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Match TTL forced in disposable DB; no real waiting or team14day boundary. Preserve accepted TEAM expiry fixture evidence separately.
ONB-001,Первый запуск,CAP-ONB-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS,AUTH-A01;auth/evidence/run-sc-a01.json;auth-review.json,auth/target-spec.md;t-auth-onboarding,First-password success автоматически открыл persisted onboarding
ONB-002,Возможности,CAP-ONB-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS_WITH_HYPOTHESIS,AUTH-A01;auth/evidence/a01-onboarding-step1-390.png;auth/evidence/a01-onboarding-notifications-390.png;auth-review.json,auth/target-spec.md;t-auth-onboarding,Наблюдались все семь тем и путь закрытия; одинаковый смысл «Далее»/«Пропустить» — экспертная гипотеза
ONB-003,Учебный матч,CAP-ONB-001,AUTH,AUTH;JUDGE,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,AUTH-A01;auth/evidence/a01-tutorial-entry-390.png;auth-review.json;R-RUN-TUTORIAL;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Tutorial completed through API judge lifecycle; not browser judge flow replay. Preserve prior AUTH/pilot evidence where applicable.
ONB-004,Изоляция,CAP-ONB-001,AUTH,AUTH;RESULTS,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,auth-review.json;R-RUN-TUTORIAL;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Before/after history/stats/rank/rival equal and tutorial ID absent; synthetic API lifecycle, no human session."
ONB-005,Повтор,CAP-ONB-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,AUTH-A03;auth/evidence/a03-profile-sessions-390.png;auth-review.json;R-RUN-PROFILE-VALIDATION;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Restart entry rendered in profile; full repeat onboarding path not run by RESULTS. Prior AUTH coverage preserved.
HELP-001,FAQ,CAP-HELP-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS,AUTH-A03;auth/evidence/a03-help-390.png;auth/evidence/a03-help-load-error-390.png;auth-review.json,auth/target-spec.md;t-auth-help,"Категории загрузились, после 503 retry восстановил FAQ; empty articles response не injected"
HELP-002,Контекстные подсказки,CAP-HELP-001,AUTH,AUTH;MATCH;JUDGE;RESULTS,SC-A01;SC-A02;SC-A03,REFINED,PARTIAL_SOURCE_ONLY,AUTH-A01;auth/evidence/a01-onboarding-notifications-390.png;auth-review.json,auth/target-spec.md;t-auth-onboarding,Onboarding context note наблюдалась; setup/judge/ranking tips проверяют другие packages
HELP-003,Feedback,CAP-HELP-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS_WITH_HYPOTHESIS,AUTH-A03;auth/evidence/a03-feedback-error-390.png;auth-review.json,auth/target-spec.md;t-auth-help,"Все категории есть; текст и ссылка отправлены; 503 сохранил черновик, повтор прошёл; потребность в многострочности — экспертная гипотеза"
